特征1,特征2,相关系数
收盘,最高,0.9999099147556842
开盘,最低,0.9999039759964543
收盘,最低,0.9998815501626016
开盘,最高,0.9998616055779799
最高,最低,0.9998047777218813
开盘,收盘,0.9997975656154389
sma_20,boll_mid,0.9988599078153552
KMID,OPEN0,0.9981561933360303
最低,sma_5,0.9960273176786265
开盘,sma_5,0.9959847936342332
收盘,sma_5,0.9959548962924629
最高,sma_5,0.9959213205841283
sma_20,ema_26,0.994369361651666
MA60,QTLU60,0.9942026755718454
sma_5,ema_12,0.9933810667716773
MA30,QTLU30,0.9933605637648756
ema_26,boll_mid,0.9933183536156917
MA20,QTLU20,0.9928441037038994
MA60,QTLD60,0.992620416937113
sma_20,ema_12,0.9924078159471174
MA30,QTLD30,0.9923442145892253
MA10,QTLU10,0.9920083047566486
MA20,QTLD20,0.99195978050574
ema_12,boll_mid,0.9917960822369046
MA5,QTLU5,0.991665233670376
MA10,QTLD10,0.9911793935103904
MA5,QTLD5,0.9910184475587377
MIN60,QTLD60,0.9908626792010703
MIN30,QTLD30,0.9894543472482419
最低,ema_12,0.9894115852810007
开盘,ema_12,0.9893495541600744
收盘,ema_12,0.989324685399835
最高,ema_12,0.9892531234674555
MIN20,QTLD20,0.9885251458966655
ema_12,ema_26,0.9869486539040654
振幅,KLEN,0.9869396281567578
MIN10,QTLD10,0.9869158495515233
sma_5,sma_20,0.9855893667848624
sma_5,boll_mid,0.9853927947503931
ROC60,SUMN60,0.985025857503747
MAX60,QTLU60,0.9833760921649147
SUMN5,SUMD5,0.9829375488964963
SUMP5,SUMD5,0.9829139660895467
MIN5,QTLD5,0.9825143908414096
最低,sma_20,0.981677565175215
最高,boll_mid,0.9815496207569322
开盘,sma_20,0.9815129624589304
收盘,sma_20,0.9814588502571355
开盘,boll_mid,0.9814141775812191
收盘,boll_mid,0.9813767317995428
最高,sma_20,0.9813508095864092
最低,boll_mid,0.9813130679182936
sma_5,ema_26,0.980260004020472
MAX30,QTLU30,0.9801750358632884
MA60,MIN60,0.9793668861942684
MAX20,QTLU20,0.9787404093531661
MAX10,QTLU10,0.97852808604551
MAX5,QTLU5,0.977220438303111
MA30,MIN30,0.9765715695238777
最低,ema_26,0.9764757425657391
开盘,ema_26,0.9762776031264898
收盘,ema_26,0.9762363262283738
最高,ema_26,0.9760818392049362
QTLU60,QTLD60,0.9753662981413067
MA20,MIN20,0.9744101687998175
QTLU30,QTLD30,0.9731946677831735
QTLU20,QTLD20,0.9714454087612147
MA10,MIN10,0.970519245062232
MA60,MAX60,0.9700712654981397
QTLU10,QTLD10,0.9682131551866516
QTLU5,QTLD5,0.966978812885965
MA5,MIN5,0.9645117277449321
ema_26,ema_60,0.9644576147003808
MA30,MAX30,0.9642353278935277
VSUMN5,VSUMD5,0.9642282077368495
VSUMP5,VSUMD5,0.9639370965886662
CNTN5,CNTD5,0.9635477141467332
CNTP5,CNTD5,0.9634045036306076
MA20,MAX20,0.9613379229470701
ROC60,MIN60,0.9610845839258612
ROC60,QTLD60,0.9609529958030502
VSUMP60,VSUMN60,0.9592953145905587
MA10,MAX10,0.9590002206154578
sma_20,ema_60,0.9586932744928822
ROC60,MA60,0.9576304063764863
MIN60,QTLU60,0.9574302921540283
MA5,MAX5,0.9573603760664813
boll_mid,ema_60,0.9570390011640311
MA60,SUMN60,0.9531355393330923
ROC30,QTLD30,0.9519883195114406
macd,macd_signal,0.9517216592021683
MIN30,QTLU30,0.9513910767269721
QTLD60,SUMN60,0.9512548671359786
ema_12,ema_60,0.9505805730012924
ROC30,MIN30,0.9492582384749809
ROC30,MA30,0.9489954115453397
MIN60,SUMN60,0.9479361233015192
QTLU60,CNTN60,0.9476073401843456
MIN20,QTLU20,0.9469675900357157
MA60,CNTN60,0.9461984485539642
sma_5,ema_60,0.9433671777948531
ROC60,QTLU60,0.9433281972346953
QTLU60,SUMN60,0.9432768155196372
SUMP10,SUMD10,0.9425661651268232
SUMN10,SUMD10,0.9424345949931843
kdj_k,kdj_d,0.9417212116363044
CNTP60,SUMP60,0.9409745918634843
MAX60,QTLD60,0.9409364022920252
ROC20,QTLD20,0.9408287013832365
MAX60,CNTN60,0.9404728620730719
RANK60,RSV60,0.9396365520241435
最低,ema_60,0.9395408974261311
开盘,ema_60,0.9393602709015293
收盘,ema_60,0.9390858076045151
最高,ema_60,0.938994347126633
MIN10,QTLU10,0.9388162987079299
ROC20,MA20,0.9385769803374198
ROC20,MIN20,0.9367276634063048
RANK30,RSV30,0.9357355200161617
RANK20,RSV20,0.9354523495704141
ROC30,QTLU30,0.9340665737089433
VMA20,VMA30,0.9329564501018927
SUMP5,SUMN5,0.9322860974216715
QTLD60,CNTN60,0.9318239662644648
MAX30,QTLD30,0.9318108258114438
CNTN60,SUMN60,0.9316353220037978
MIN5,QTLU5,0.9299136581637567
MAX20,QTLD20,0.9262996444368986
RANK10,RSV10,0.9242824965347364
ROC20,QTLU20,0.9234463697117806
ROC30,SUMN30,0.9233196545425818
ROC60,CNTN60,0.9209430228610574
MIN60,CNTN60,0.920620890239048
MAX10,QTLD10,0.920280327466013
MAX5,QTLD5,0.9183464187250154
QTLU60,VSUMN60,0.9178161560865654
RANK20,RANK30,0.9176225043271274
MAX60,MIN60,0.9172742971853453
MA60,VSUMN60,0.9163271139016002
MAX60,SUMN60,0.9156757788571397
ROC10,QTLD10,0.9140544714593456
ROC10,MA10,0.9122646383906814
成交量,volume_ma_5,0.9120946011461634
ROC60,MAX60,0.9111564451608717
ROC10,MIN10,0.910706001225447
volume_ma_5,volume_ma_20,0.9102938769431363
MAX60,VSUMN60,0.9080911538806521
boll_std,atr_14,0.9029205576218174
MAX30,MIN30,0.9027124713411613
QTLD60,VSUMN60,0.9019680938862854
CNTN10,CNTD10,0.9019511486411049
CNTP10,CNTD10,0.9000301467007091
