特征,IC均值,IC绝对值均值,IC标准差,ICIR,正IC比例,样本数
换手率,-0.01997104301165572,0.2189753322787905,0.2597955740188664,-0.07687214490470322,0.45472061657032753,519
KLEN,-0.02202553830372617,0.16932079445747356,0.20835621770442495,-0.1057109720376379,0.4373795761078998,519
振幅,-0.022224400535846123,0.1691373331204154,0.2080486991178109,-0.1068230689736463,0.4393063583815029,519
high_low_spread,-0.02491012539095866,0.16692843299259727,0.20012580179147002,-0.12447233274193399,0.44315992292870904,519
high_close_spread,-0.017398443731253974,0.16551431652674187,0.20156760654578756,-0.08631567358128783,0.4489402697495183,519
HIGH0,-0.007731141677125555,0.1630454389958567,0.2072605824411509,-0.03730155336837103,0.4682080924855491,519
涨跌幅,-0.006359662225331584,0.1615878691175795,0.2018134025592684,-0.03151258610504013,0.5067437379576107,519
OPEN0,0.009112077253029531,0.15961840439508748,0.19937183381331644,0.04570393459647866,0.5048169556840078,519
KMID,-0.009133164355873044,0.15961223674020986,0.19937346111734822,-0.04580932840630976,0.4951830443159923,519
KSFT,-0.00923012890425431,0.1580930050358976,0.19501266327326494,-0.04733092071704645,0.4816955684007707,519
KMID2,-0.00564860302922439,0.15175932676564677,0.1921454189412778,-0.029397542029983452,0.5028901734104047,519
obv,0.017640971687807,0.1481177066891236,0.18818803054208624,0.09374119935735256,0.5394990366088632,519
LOW0,0.01480821204178139,0.14794490571786298,0.18298962087968182,0.08092378119870017,0.5240847784200385,519
最高,-0.020660830978883025,0.14753652092443875,0.17695827354719698,-0.11675538286293105,0.45857418111753373,519
open_close_spread,0.00867977091741715,0.14733491405527094,0.181326760596567,0.04786811879731785,0.5183044315992292,519
开盘,-0.02044681406053981,0.14715151562587792,0.17651701448985832,-0.11583480561075733,0.45857418111753373,519
收盘,-0.020637905571263927,0.14698516017084765,0.17632856238872843,-0.11704232877285758,0.45857418111753373,519
最低,-0.02044756359135238,0.14669578314590975,0.1759777410320496,-0.11619403380972035,0.45857418111753373,519
low_close_spread,0.023727565280741998,0.14669102779567755,0.18116480971764884,0.13097226397108355,0.558766859344894,519
涨跌额,-0.005102854447222225,0.14625969000432318,0.18159060783120784,-0.028100872110838084,0.5009633911368016,519
KSFT2,-0.004541151665537912,0.14210634855494558,0.1796038958631246,-0.025284260364671716,0.5028901734104047,519
成交额,-0.012365119993967113,0.13738903203718766,0.17203633834888624,-0.07187504751943175,0.4951830443159923,519
KUP,-0.004298380974635269,0.12761157990138333,0.1626856840093571,-0.026421384283337557,0.4913294797687861,519
KLOW,-0.004537560208105433,0.12747902831298494,0.16456365771075215,-0.027573282407549374,0.4836223506743738,519
成交量,0.01493344731117686,0.12405836092160617,0.1564081584014932,0.095477419232492,0.5337186897880539,519
KLOW2,0.005075969417465804,0.1101522330096408,0.14238519273806893,0.035649559619362114,0.5202312138728323,519
KUP2,0.005840390777614608,0.1068392904772339,0.13503597540480772,0.04325062828674484,0.51252408477842,519
VWAP0,-0.0009472929083972119,0.07133742725918447,0.08894458997296979,-0.010650371300541642,0.48554913294797686,519
ROC5,,,,,0.5048169556840078,519
ROC10,,,,,0.5472061657032755,519
ROC20,,,,,0.464354527938343,519
ROC30,,,,,0.45472061657032753,519
ROC60,,,,,0.4605009633911368,519
MA5,,,,,0.5086705202312138,519
MA10,,,,,0.5086705202312138,519
MA20,,,,,0.5048169556840078,519
MA30,,,,,0.4836223506743738,519
MA60,,,,,0.441233140655106,519
STD5,,,,,0.44315992292870904,519
STD10,,,,,0.4277456647398844,519
STD20,,,,,0.4527938342967245,519
STD30,,,,,0.4662813102119461,519
STD60,,,,,0.41811175337186895,519
BETA5,,,,,0.4816955684007707,519
BETA10,,,,,0.464354527938343,519
BETA20,,,,,0.5048169556840078,519
BETA30,,,,,0.4662813102119461,519
BETA60,,,,,0.4142581888246628,519
RSQR5,,,,,0.0019267822736030828,519
RSQR10,,,,,0.0019267822736030828,519
RSQR20,,,,,0.0019267822736030828,519
RSQR30,,,,,0.0019267822736030828,519
RSQR60,,,,,0.005780346820809248,519
RESI5,,,,,0.47398843930635837,519
RESI10,,,,,0.4951830443159923,519
RESI20,,,,,0.4605009633911368,519
RESI30,,,,,0.4508670520231214,519
RESI60,,,,,0.4624277456647399,519
MAX5,,,,,0.47398843930635837,519
MAX10,,,,,0.5028901734104047,519
MAX20,,,,,0.48554913294797686,519
MAX30,,,,,0.4662813102119461,519
MAX60,,,,,0.44315992292870904,519
MIN5,,,,,0.5298651252408478,519
MIN10,,,,,0.5240847784200385,519
MIN20,,,,,0.4932562620423892,519
MIN30,,,,,0.48554913294797686,519
MIN60,,,,,0.4720616570327553,519
QTLU5,,,,,0.5009633911368016,519
QTLU10,,,,,0.5183044315992292,519
QTLU20,,,,,0.5028901734104047,519
QTLU30,,,,,0.4682080924855491,519
QTLU60,,,,,0.4373795761078998,519
QTLD5,,,,,0.5279383429672447,519
QTLD10,,,,,0.5279383429672447,519
QTLD20,,,,,0.4932562620423892,519
QTLD30,,,,,0.4720616570327553,519
QTLD60,,,,,0.4489402697495183,519
RANK5,,,,,0.4836223506743738,519
RANK10,,,,,0.4662813102119461,519
RANK20,,,,,0.4701348747591522,519
RANK30,,,,,0.4720616570327553,519
RANK60,,,,,0.45472061657032753,519
RSV5,,,,,0.49710982658959535,519
RSV10,,,,,0.4797687861271676,519
RSV20,,,,,0.47398843930635837,519
RSV30,,,,,0.47398843930635837,519
RSV60,,,,,0.4508670520231214,519
IMAX5,,,,,0.48554913294797686,519
IMAX10,,,,,0.47398843930635837,519
IMAX20,,,,,0.5009633911368016,519
IMAX30,,,,,0.4797687861271676,519
IMAX60,,,,,0.4142581888246628,519
IMIN5,,,,,0.5163776493256262,519
IMIN10,,,,,0.48940269749518306,519
IMIN20,,,,,0.44315992292870904,519
IMIN30,,,,,0.4662813102119461,519
IMIN60,,,,,0.4605009633911368,519
IMXD5,,,,,0.4624277456647399,519
IMXD10,,,,,0.4797687861271676,519
IMXD20,,,,,0.5279383429672447,519
IMXD30,,,,,0.48940269749518306,519
IMXD60,,,,,0.4123314065510597,519
CORR5,,,,,0.464354527938343,519
CORR10,,,,,0.4258188824662813,519
CORR20,,,,,0.44508670520231214,519
CORR30,,,,,0.4373795761078998,519
CORR60,,,,,0.4142581888246628,519
CORD5,,,,,0.47784200385356457,519
CORD10,,,,,0.4142581888246628,519
CORD20,,,,,0.4142581888246628,519
CORD30,,,,,0.43545279383429675,519
CORD60,,,,,0.3911368015414258,519
CNTP5,,,,,0.49710982658959535,519
CNTP10,,,,,0.5009633911368016,519
CNTP20,,,,,0.5317919075144508,519
CNTP30,,,,,0.5048169556840078,519
CNTP60,,,,,0.4489402697495183,519
CNTN5,,,,,0.47784200385356457,519
CNTN10,,,,,0.45472061657032753,519
CNTN20,,,,,0.42196531791907516,519
CNTN30,,,,,0.45472061657032753,519
CNTN60,,,,,0.4393063583815029,519
CNTD5,,,,,0.48940269749518306,519
CNTD10,,,,,0.5183044315992292,519
CNTD20,,,,,0.5510597302504817,519
CNTD30,,,,,0.4913294797687861,519
CNTD60,,,,,0.4393063583815029,519
SUMP5,,,,,0.48940269749518306,519
SUMP10,,,,,0.45857418111753373,519
SUMP20,,,,,0.5183044315992292,519
SUMP30,,,,,0.4951830443159923,519
SUMP60,,,,,0.4393063583815029,519
SUMN5,,,,,0.5009633911368016,519
SUMN10,,,,,0.5260115606936416,519
SUMN20,,,,,0.44508670520231214,519
SUMN30,,,,,0.4489402697495183,519
SUMN60,,,,,0.44701348747591524,519
SUMD5,,,,,0.4913294797687861,519
SUMD10,,,,,0.45664739884393063,519
SUMD20,,,,,0.5183044315992292,519
SUMD30,,,,,0.4913294797687861,519
SUMD60,,,,,0.4373795761078998,519
VMA5,,,,,0.4797687861271676,519
VMA10,,,,,0.5144508670520231,519
VMA20,,,,,0.5144508670520231,519
VMA30,,,,,0.49710982658959535,519
VMA60,,,,,0.4662813102119461,519
VSTD5,,,,,0.44315992292870904,519
VSTD10,,,,,0.42003853564547206,519
VSTD20,,,,,0.44315992292870904,519
VSTD30,,,,,0.4720616570327553,519
VSTD60,,,,,0.44701348747591524,519
WVMA5,,,,,0.43352601156069365,519
WVMA10,,,,,0.4489402697495183,519
WVMA20,,,,,0.40655105973025046,519
WVMA30,,,,,0.4682080924855491,519
WVMA60,,,,,0.4489402697495183,519
VSUMP5,,,,,0.464354527938343,519
VSUMP10,,,,,0.43545279383429675,519
VSUMP20,,,,,0.4277456647398844,519
VSUMP30,,,,,0.4701348747591522,519
VSUMP60,,,,,0.4258188824662813,519
VSUMN5,,,,,0.5279383429672447,519
VSUMN10,,,,,0.5568400770712909,519
VSUMN20,,,,,0.5317919075144508,519
VSUMN30,,,,,0.4797687861271676,519
VSUMN60,,,,,0.4701348747591522,519
VSUMD5,,,,,0.4662813102119461,519
VSUMD10,,,,,0.43159922928709055,519
VSUMD20,,,,,0.43545279383429675,519
VSUMD30,,,,,0.464354527938343,519
VSUMD60,,,,,0.42196531791907516,519
sma_5,,,,,0.45664739884393063,519
sma_20,,,,,0.4527938342967245,519
ema_12,,,,,0.4527938342967245,519
ema_26,,,,,0.44315992292870904,519
rsi,,,,,0.48940269749518306,519
macd,,,,,0.48747591522157996,519
macd_signal,,,,,0.4720616570327553,519
volume_change,,,,,0.5202312138728323,519
volume_ma_5,,,,,0.535645472061657,519
volume_ma_20,,,,,0.5221579961464354,519
volume_ratio,,,,,0.43352601156069365,519
kdj_k,,,,,0.4816955684007707,519
kdj_d,,,,,0.4932562620423892,519
kdj_j,,,,,0.4701348747591522,519
boll_mid,,,,,0.4489402697495183,519
boll_std,,,,,0.5202312138728323,519
atr_14,,,,,0.44701348747591524,519
ema_60,,,,,0.41811175337186895,519
volatility_10,,,,,0.44508670520231214,519
volatility_20,,,,,0.47398843930635837,519
return_1,,,,,0.5028901734104047,519
return_5,,,,,0.48554913294797686,519
return_10,,,,,0.43352601156069365,519
